Year,Date,State,GeoRegion,ColonyName,SpeciesCode,Longitude_y,Latitude_y,Nests,Birds
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,UNWA,-82.11239999999998,26.4979,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,BRPE,-82.10429999999998,26.4945,6,7
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,DCCO,-82.10429999999998,26.4945,57,61
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,GBHE,-82.10429999999998,26.4945,7,7
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,GREG,-82.10429999999998,26.4945,23,16
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,SNEG,-82.10429999999998,26.4945,7,9
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,TRHE,-82.10429999999998,26.4945,2,2
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 2,UNWA,-82.10429999999998,26.4945,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 3,DCCO,-82.102,26.4939,1,1
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 3,GBHE,-82.102,26.4939,2,2
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 3,UNWA,-82.102,26.4939,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,BRPE,-82.0755,26.4565,33,55
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,DCCO,-82.0755,26.4565,30,40
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,GBHE,-82.0755,26.4565,3,0
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,GREG,-82.0755,26.4565,38,21
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,SNEG,-82.0755,26.4565,15,15
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,TRHE,-82.0755,26.4565,4,5
2010,2010-Jun-10,FL,Charlotte Harbor,Tarpon Bay Island,UNWA,-82.0755,26.4565,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Turtle Bay Island,DCCO,-82.1875,26.7867,46,59
2010,2010-Jun-10,FL,Charlotte Harbor,Turtle Bay Island,GBHE,-82.1875,26.7867,1,1
2010,2010-Jun-10,FL,Tampa Bay,Bird Keys Islet,DCCO,-82.5038,27.2087,3,4
2010,2010-Jun-10,FL,Tampa Bay,Bird Keys Islet,GBHE,-82.5038,27.2087,8,3
2010,2010-Jun-10,FL,Tampa Bay,Bird Keys Islet,GREG,-82.5038,27.2087,19,7
2010,2010-Jun-10,FL,Tampa Bay,Bird Keys Islet,UNWA,-82.5038,27.2087,0,0
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island North,DCCO,-82.4751,27.1515,6,6
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island North,GREG,-82.4751,27.1515,21,15
2010,2010-Jun-10,FL,Tampa Bay,Blackburn Bay Island North,WOST,-82.4751,27.1515,257,260
